Субъект РФ,Численность населения,"Площадь, км²","Плотность населения, чел/км²"
Республика Адыгея,453000,7792,58.14
Республика Алтай,222000,92600,2.4
Республика Башкортостан,4000000,142947,27.98
Республика Бурятия,972000,351334,2.77
Республика Дагестан,3264000,50300,64.89
Республика Ингушетия,543000,3628,149.67
Кабардино-Балкарская Республика,895000,12470,71.77
Республика Калмыкия,263000,74731,3.52
Карачаево-Черкесская Республика,466000,14277,32.64
Республика Карелия,540000,172400,3.13
Республика Коми,737000,416774,1.77
Республика Марий Эл,657000,23375,28.11
Республика Мордовия,738000,26128,28.25
Республика Саха (Якутия),948000,3083523,0.31
Республика Северная Осетия — Алания,674000,8000,84.25
Республика Татарстан,3923000,67836,57.83
Республика Тыва,334000,168606,1.98
Удмуртская Республика,1488000,42100,35.34
Республика Хакасия,528000,61900,8.53
Чеченская Республика,1506000,17100,88.07
Чувашская Республика,1150000,18343,62.69
Алтайский край,2242000,168000,13.35
Забайкальский край,985000,431892,2.28
Камчатский край,291000,464275,0.63
Краснодарский край,5938000,75485,78.66
Красноярский край,2798000,2366800,1.18
Пермский край,2541000,160236,15.86
Приморский край,1841000,165900,11.1
Ставропольский край,2786000,66500,41.89
Хабаровский край,1262000,787633,1.6
Амурская область,750000,363000,2.07
Архангельская область,1088000,589913,1.84
Астраханская область,965000,44100,21.88
Белгородская область,1530000,27134,56.39
Брянская область,1122000,34900,32.15
Владимирская область,1330000,29084,45.73
Волгоградская область,2425000,113900,21.29
Вологодская область,1130000,145700,7.76
Воронежская область,2315000,52200,44.35
Ивановская область,940000,21437,43.85
Иркутская область,2324000,774846,3.0
Калининградская область,1033000,15125,68.3
Калужская область,1010000,29900,33.78
Кемеровская область,2520000,95500,26.39
Кировская область,1116000,120374,9.27
Костромская область,595000,60100,9.9
Курганская область,784000,71488,10.97
Курская область,1060000,29827,35.54
Ленинградская область,1958000,83908,23.34
Липецкая область,1110000,24100,46.06
Магаданская область,134000,46200,2.9
Московская область,7881000,44329,177.78
Мурманская область,689000,144900,4.76
Нижегородская область,3061000,76624,39.95
Новгородская область,580000,54500,10.64
Новосибирская область,2808000,178200,15.76
Омская область,1882000,139730,13.47
Оренбургская область,1905000,123700,15.4
Орловская область,689000,24700,27.89
Пензенская область,1250000,43200,28.94
Псковская область,580000,55300,10.49
Ростовская область,4155000,100800,41.22
Рязанская область,1095000,39600,27.65
Самарская область,3134000,53565,58.51
Саратовская область,2337000,101200,23.09
Сахалинская область,466000,87200,5.34
Свердловская область,4276000,194307,22.01
Смоленская область,911000,49800,18.29
Тамбовская область,955000,34300,27.84
Тверская область,1175000,84200,13.95
Томская область,1067000,314391,3.39
Тульская область,1465000,25679,57.05
Тюменская область,1580000,160122,9.87
Ульяновская область,1197000,37300,32.09
Челябинская область,3476000,88529,39.26
Ярославская область,1220000,36400,33.52
Москва,13104000,2561,5116.75
Санкт-Петербург,5602000,1439,3892.98
Севастополь,590000,1079,546.8
Еврейская автономная область,155000,36100,4.29
Ненецкий автономный округ,42000,176800,0.24
Ханты-Мансийский автономный округ — Югра,1684000,534801,3.15
Чукотский автономный округ,50000,72100,0.69
Ямало-Ненецкий автономный округ,543000,769250,0.71
